,team,wpct,qbnum
0,ARI,0.5266272189349113,7
1,ATL,0.5212121212121212,3
2,BAL,0.5965909090909091,3
3,BUF,0.4125,6
4,CAR,0.5239520958083832,4
5,CHI,0.5272727272727272,3
6,CIN,0.5180722891566265,3
7,CLE,0.31875,8
8,DAL,0.5421686746987951,3
9,DEN,0.5882352941176471,5
10,DET,0.35185185185185186,4
11,GB,0.6428571428571429,2
12,HOU,0.4909090909090909,5
13,IND,0.6420454545454546,4
14,JAX,0.36419753086419754,4
15,KC,0.42424242424242425,6
16,LAC,0.5680473372781065,1
17,LAR,0.315625,5
18,MIA,0.4161490683229814,6
19,MIN,0.4818181818181818,6
20,NE,0.7555555555555555,2
21,NO,0.5882352941176471,1
22,NYG,0.5470588235294118,1
23,NYJ,0.49700598802395207,5
24,OAK,0.3125,7
25,PHI,0.5386904761904762,5
26,PIT,0.6198830409356725,1
27,SEA,0.5568181818181818,4
28,SF,0.5208333333333334,4
29,TB,0.36024844720496896,6
30,TEN,0.4444444444444444,7
31,WSH,0.38650306748466257,6
