,season,team,round,pick,pfr_id,pfr_name,player_id,side,category,position
6,1980,ATL,1,7,MillJu00,Junior Miller,,O,TE,TE
4,1980,BAL,1,5,DickCu00,Curtis Dickey,,O,RB,RB
23,1980,BAL,1,24,HatcDe20,Derrick Hatchett,,D,DB,DB
26,1980,BAL1,1,27,WhitCh00,Charles White,,O,RB,RB
15,1980,BUF,1,16,RitcJi00,Jim Ritcher,,O,OL,G
18,1980,CHI,1,19,WilsOt00,Otis Wilson,,D,LB,LB
2,1980,CIN,1,3,MunoAn00,Anthony Munoz,,O,OL,T
0,1980,DET,1,1,SimsBi00,Billy Sims,,O,RB,RB
3,1980,GB,1,4,ClarBr23,Bruce Clark,,D,DL,DE
25,1980,GB,1,26,CumbGe20,George Cumby,,D,LB,LB
10,1980,KC,1,11,BuddBr20,Brad Budde,,O,OL,G
14,1980,LARD,1,15,WilsMa00,Marc Wilson,,O,QB,QB
5,1980,LARM,1,6,GreeCu21,Curtis Greer,,D,DL,DE
16,1980,LARM,1,17,JohnJo23,Johnnie Johnson,,D,DB,DB
20,1980,MIA,1,21,McNeDo20,Don McNeal,,D,DB,DB
8,1980,MIN,1,9,MartDo21,Doug Martin,,D,DL,DE
13,1980,NE,1,14,JameRo20,Roland James,,D,DB,DB
24,1980,NE,1,25,FergVa00,Vagas Ferguson,,O,RB,RB
11,1980,NO,1,12,BrocSt20,Stan Brock,,O,OL,T
7,1980,NYG,1,8,HaynMa00,Mark Haynes,,D,DB,DB
1,1980,NYJ,1,2,JoneLa00,Lam Jones,,O,WR,WR
22,1980,PHI,1,23,YounRo00,Roynell Young,,D,DB,DB
27,1980,PIT,1,28,MaloMa00,Mark Malone,,O,QB,QB
9,1980,SEA,1,10,GreeJa01,Jacob Green,,D,DL,DE
12,1980,SF,1,13,CoopEa00,Earl Cooper,,O,RB,RB
19,1980,SF,1,20,StucJi20,Jim Stuckey,,D,DL,DE
21,1980,TB,1,22,SnelRa20,Ray Snell,,O,OL,G
17,1980,WAS,1,18,MonkAr00,Art Monk,,O,WR,WR
357,1981,ATL,1,25,ButlBo21,Bobby Butler,,D,DB,DB
344,1981,BAL,1,12,McMiRa00,Randy McMillan,,O,RB,RB
350,1981,BAL,1,18,ThomDo25,Donnell Thompson,,D,DL,DE
354,1981,BAL1,1,22,DixoHa00,Hanford Dixon,,D,DB,DB
360,1981,BUF,1,28,MoorBo00,Booker Moore,,O,RB,RB
343,1981,CHI,1,11,VanHKe20,Keith Van Horne,,O,OL,T
342,1981,CIN,1,10,VersDa00,David Verser,,O,WR,WR
358,1981,DAL,1,26,RichHo20,Howard Richards,,O,OL,G
347,1981,DEN,1,15,SmitDe01,Dennis Smith,,D,DB,DB
348,1981,DET,1,16,NichMa00,Mark Nichols,,O,WR,WR
338,1981,GB,1,6,CampRi00,Rich Campbell,,O,QB,QB
346,1981,KC,1,14,ScotWi00,Willie Scott,,O,TE,TE
353,1981,LARD,1,21,WattTe20,Ted Watts,,D,DB,DB
355,1981,LARD,1,23,MarsCu20,Curt Marsh,,O,OL,G
337,1981,LARM,1,5,JuniE.00,E.J. Junior,,D,LB,LB
341,1981,LARM,1,9,OwenMe20,Mel Owens,,D,LB,LB
345,1981,MIA,1,13,OverDa00,David Overstreet,,O,RB,RB
351,1981,NE,1,19,HollBr00,Brian Holloway,,O,OL,T
333,1981,NO,1,1,RogeGe00,George Rogers,,O,RB,RB
334,1981,NYG,1,2,TaylLa00,Lawrence Taylor,,D,LB,LB
335,1981,NYJ,1,3,McNeFr00,Freeman McNeil,,O,RB,RB
359,1981,PHI,1,27,MitcLe20,Leonard Mitchell,,O,OL,T
349,1981,PIT,1,17,GaryKe20,Keith Gary,,D,DL,DE
356,1981,SD,1,24,BrooJa00,James Brooks,,O,RB,RB
336,1981,SEA,1,4,EaslKe00,Kenny Easley,,D,DB,DB
340,1981,SF,1,8,LottRo00,Ronnie Lott,,D,DB,DB
339,1981,TB,1,7,GreeHu00,Hugh Green,,D,LB,LB
352,1981,WAS,1,20,MayxMa00,Mark May,,O,OL,G
673,1982,ATL,1,9,RiggGe00,Gerald Riggs,,O,RB,RB
666,1982,BAL,1,2,CookJo20,Johnie Cooks,,D,LB,LB
668,1982,BAL,1,4,SchlAr00,Art Schlichter,,O,QB,QB
667,1982,BAL1,1,3,BankCh01,Chip Banks,,D,LB,LB
683,1982,BUF,1,19,TuttPe00,Perry Tuttle,,O,WR,WR
669,1982,CHI,1,5,McMaJi00,Jim McMahon,,O,QB,QB
690,1982,CIN,1,26,CollGl20,Glen Collins,,D,DL,DE
689,1982,DAL,1,25,HillRo20,Rod Hill,,D,DB,DB
685,1982,DEN,1,21,WillGe00,Gerald Willhite,,O,RB,RB
679,1982,DET,1,15,WillJi21,Jimmy Williams,,D,LB,LB
686,1982,GB,1,22,HallRo20,Ron Hallstrom,,O,OL,G
672,1982,HOU,1,8,MuncMi00,Mike Munchak,,O,OL,G
675,1982,KC,1,11,HancAn00,Anthony Hancock,,O,WR,WR
674,1982,LARD,1,10,AlleMa00,Marcus Allen,,O,RB,RB
678,1982,LARM,1,14,ReddBa00,Barry Redden,,O,RB,RB
680,1982,LARM,1,16,SharLu00,Luis Sharpe,,O,OL,T
688,1982,MIA,1,24,FostRo00,Roy Foster,,O,OL,G
671,1982,MIN,1,7,NelsDa00,Darrin Nelson,,O,RB,RB
665,1982,NE,1,1,SimsKe21,Kenneth Sims,,D,DL,DE
691,1982,NE,1,27,WillLe22,Lester Williams,,D,DL,NT
677,1982,NO,1,13,ScotLi00,Lindsay Scott,,O,WR,WR
682,1982,NYG,1,18,WoolBu00,Butch Woolfolk,,O,RB,RB
687,1982,NYJ,1,23,CrabBo20,Bob Crable,,D,LB,LB
684,1982,PHI,1,20,QuicMi00,Mike Quick,,O,WR,WR
676,1982,PIT,1,12,AberWa00,Walter Abercrombie,,O,RB,RB
670,1982,SEA,1,6,BryaJe20,Jeff Bryant,,D,DL,DE
681,1982,TB,1,17,FarrSe20,Sean Farrell,,O,OL,G
1014,1983,ATL,1,16,PittMi20,Mike Pitts,,D,DL,DT
999,1983,BAL,1,1,ElwaJo00,John Elway,,O,QB,QB
1010,1983,BUF,1,12,HuntTo00,Tony Hunter,,O,TE,TE
1012,1983,BUF,1,14,KellJi00,Jim Kelly,,O,QB,QB
1004,1983,CHI,1,6,CoveJi00,Jimbo Covert,,O,OL,T
1016,1983,CHI,1,18,GaulWi00,Willie Gault,,O,WR,WR
1023,1983,CIN,1,25,RimiDa20,Dave Rimington,,O,OL,C
1021,1983,DAL,1,23,JeffJi20,Jim Jeffcoat,,D,DL,DE
1002,1983,DEN,1,4,HintCh00,Chris Hinton,,O,OL,T
1011,1983,DET,1,13,JoneJa00,James Jones,,O,RB,RB
1009,1983,GB,1,11,LewiTi20,Tim Lewis,,D,DB,DB
1007,1983,HOU,1,9,MattBr00,Bruce Matthews,,O,OL,G
1005,1983,KC,1,7,BlacTo00,Todd Blackledge,,O,QB,QB
1024,1983,LARD,1,26,MoseDo00,Don Mosebar,,O,OL,C
1000,1983,LARM,1,2,DickEr00,Eric Dickerson,,O,RB,RB
1015,1983,LARM,1,17,SmitLe22,Leonard Smith,,D,DB,DB
