,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES,3PtDistance
29,GSW,Warriors,W,1,66,14,2,0
20,SAS,Spurs,W,2,62,17,3,0
7,LAC,Clippers,W,4,53,28,1,0
21,OKL,Thunder,W,6,48,32,2,0
23,UTA,Jazz,W,5,46,33,3,0
6,HOU,Rockets,W,3,43,37,2,0
18,POR,Trail Blazers,W,8,41,40,1,0
24,MEM,Grizzlies,W,7,40,40,2,0
4,DAL,Mavericks,W,11,38,42,2,0
5,DEN,Nuggets,W,9,38,42,2,0
11,MIN,Timberwolves,W,13,38,43,1,0
2,NOP,Pelicans,W,10,33,47,2,0
19,SAC,Kings,W,12,33,49,0,0
8,LAL,Lakers,W,14,26,55,1,0
17,PHX,Suns,W,15,19,62,1,0
22,TOR,Raptors,E,3,53,26,3,0
28,CLE,Cavaliers,E,2,50,31,1,0
25,WAS,Wizards,E,4,48,32,2,0
3,CHI,Bulls,E,8,44,36,2,0
1,BOS,Celtics,E,1,43,36,3,0
15,IND,Pacers,E,7,43,37,2,0
26,DET,Pistons,E,10,42,37,3,0
13,NYK,Knicks,E,12,40,39,3,0
0,ATL,Hawks,E,5,39,41,2,0
10,MIL,Bucks,E,6,37,42,3,0
9,MIA,Heat,E,9,36,40,6,0
27,CHA,Hornets,E,11,36,45,1,0
14,ORL,Magic,E,13,30,49,3,0
16,PHI,76ers,E,14,21,60,1,0
12,BRO,Nets,E,15,13,67,2,0
