,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,62,18,2
7,LAC,Clippers,W,4,52,28,2
6,HOU,Rockets,W,3,51,31,0
23,UTA,Jazz,W,5,49,31,2
21,OKL,Thunder,W,6,46,36,0
5,DEN,Nuggets,W,9,43,37,2
24,MEM,Grizzlies,W,7,41,41,0
18,POR,Trail Blazers,W,8,40,40,2
11,MIN,Timberwolves,W,13,35,47,0
2,NOP,Pelicans,W,10,34,47,1
4,DAL,Mavericks,W,11,33,48,1
19,SAC,Kings,W,12,31,48,3
8,LAL,Lakers,W,14,24,57,1
17,PHX,Suns,W,15,20,60,2
1,BOS,Celtics,E,1,51,30,1
28,CLE,Cavaliers,E,2,51,29,2
22,TOR,Raptors,E,3,50,31,1
25,WAS,Wizards,E,4,48,34,0
0,ATL,Hawks,E,5,42,37,3
3,CHI,Bulls,E,8,41,38,3
10,MIL,Bucks,E,6,41,39,2
15,IND,Pacers,E,7,41,39,2
9,MIA,Heat,E,9,39,39,4
27,CHA,Hornets,E,11,37,45,0
13,NYK,Knicks,E,12,34,48,0
26,DET,Pistons,E,10,34,43,5
14,ORL,Magic,E,13,29,52,1
16,PHI,76ers,E,14,23,57,2
12,BRO,Nets,E,15,18,61,3
