,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
0,1,28,BAL,Patrick Queen\QueePa00,LB,21.0,2021.0,0,0,2,18.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,5.0,LSU,College Stats,1,660.0,Green Bay Packers,2022.0,0.22,3.96,4.752000000000001,13.248,2.787878787878787,"Dec 16, 2020",WISH,"ContextLogic, Inc.",24.0,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.2,3.6,4.32,13.68,3.1666666666666665
1,1,13,TAM,Tristan Wirfs\WirfTr00,T,21.0,2021.0,1,1,2,27.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Iowa,College Stats,1,1150.0,Cleveland Browns,2022.0,0.38333333333333336,10.350000000000001,8.280000000000001,18.72,2.2608695652173907,"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,20.11,-0.307,Financials,Insurance,United States,1,0.24166666666666667,6.525,5.220000000000001,21.78,4.172413793103448
2,1,17,DAL,CeeDee Lamb\LambCe00,WR,21.0,2021.0,0,1,2,19.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,158.0,1.0,153.0,2037.0,11.0,2.0,,,Oklahoma,College Stats,1,950.0,Los Angeles Chargers,2022.0,0.31666666666666665,6.016666666666667,6.84,12.16,1.777777777777778,"Aug 14, 2020",DCT,"Duck Creek Technologies, Inc.",27.0,15.91,-0.41100000000000003,Information Technology,Software,United States,1,0.225,4.275,4.86,14.14,2.9094650205761314
3,1,6,LAC,Justin Herbert\HerbJu00,QB,22.0,2021.0,0,1,2,30.0,30.0,32.0,839.0,1267.0,9350.0,69.0,25.0,118.0,536.0,8.0,0.0,0.0,0.0,1.0,,,Oregon,College Stats,1,1600.0,Carolina Panthers,2022.0,0.5333333333333333,16.0,11.520000000000001,18.479999999999997,1.6041666666666663,"Sep 18, 2020",U,"Unity Software, Inc.",52.0,75.85,0.45899999999999996,Information Technology,Software,United States,1,0.43333333333333335,13.0,9.360000000000001,20.64,2.205128205128205
4,1,24,NOR,Cesar Ruiz\RuizCe00,C,21.0,2021.0,0,0,2,11.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,1,740.0,Dallas Cowboys,2022.0,0.24666666666666667,2.7133333333333334,5.328,5.672,1.0645645645645645,"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,31.39,0.256,Communication Services,Entertainment,United States,1,0.20833333333333334,2.291666666666667,4.500000000000001,6.499999999999999,1.444444444444444
5,1,29,TEN,Isaiah Wilson\WilsIs00,T,21.0,2020.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,College Stats,1,640.0,Miami Dolphins,2022.0,0.21333333333333335,0.0,4.6080000000000005,-4.6080000000000005,-1.0,"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24.0,50.91,1.121,Health Care,Biotechnology,United States,1,0.2,0.0,4.32,-4.32,-1.0
6,1,26,GNB,Jordan Love\LoveJo03,QB,21.0,2021.0,0,0,0,2.0,2.0,6.0,36.0,62.0,411.0,2.0,3.0,12.0,27.0,0.0,0.0,0.0,0.0,,,,Utah St.,College Stats,1,700.0,Tennessee Titans,2022.0,0.23333333333333334,0.4666666666666667,5.04,-3.04,-0.6031746031746031,"Aug 5, 2020",BIGC,"BigCommerce Holdings, Inc.",24.0,17.29,-0.28,Information Technology,IT Services,United States,1,0.2,0.4,4.32,-2.3200000000000003,-0.5370370370370371
7,2,64,CAR,Jeremy Chinn\ChinJe00,S,22.0,2021.0,0,0,2,26.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,143.0,2.0,2.0,Southern Illinois,,2,270.0,Denver Broncos,2022.0,0.09,2.34,1.944,24.056,12.37448559670782,"Jun 19, 2020",FMTX,"Forma Therapeutics Holdings, Inc.",20.0,8.1,-0.595,Health Care,Biotechnology,United States,2,0.16666666666666666,4.333333333333333,3.6,22.4,6.222222222222221
8,2,41,IND,Jonathan Taylor\TaylJo02,RB,21.0,2021.0,1,1,2,27.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,564.0,2980.0,29.0,76.0,659.0,3.0,,,,Wisconsin,College Stats,2,490.0,Seattle Seahawks,2022.0,0.16333333333333333,4.41,3.528,23.472,6.653061224489797,"Jul 31, 2020",VITL,"Vital Farms, Inc.",22.0,12.895,-0.414,Consumer Defensive,Farm Products,United States,2,0.18333333333333332,4.949999999999999,3.96,23.04,5.818181818181818
9,2,44,CLE,Grant Delpit\DelpGr00,S,21.0,2021.0,0,0,0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,1.0,LSU,College Stats,2,460.0,Cleveland Browns,2022.0,0.15333333333333332,0.45999999999999996,3.312,-0.31199999999999983,-0.0942028985507246,"Jun 9, 2020",VRM,"Vroom, Inc.",22.0,1.64,-0.925,Consumer Discretionary,Specialty Retail,United States,2,0.18333333333333332,0.5499999999999999,3.96,-0.96,-0.24242424242424243
10,3,75,DET,Jonah Jackson\JackJo03,G,23.0,2021.0,0,1,2,15.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Ohio St.,College Stats,3,215.0,Denver Broncos,2022.0,0.07166666666666667,1.075,1.5480000000000003,13.452,8.689922480620153,"Mar 3, 2020",GFL,"GFL Environmental, Inc.",19.0,31.27,0.6459999999999999,Industrials,Waste Management,Canada,3,0.15833333333333333,2.375,3.42,11.58,3.385964912280702
11,3,83,DEN,Lloyd Cushenberry III\CushLl00,C,22.0,2021.0,0,0,2,13.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,LSU,College Stats,3,175.0,Philadelphia Eagles,2022.0,0.058333333333333334,0.7583333333333333,1.26,11.74,9.317460317460318,"Jan 30, 2020",BDTX,"Black Diamond Therapeutics, Inc.",19.0,2.765,-0.855,Health Care,Biotechnology,United States,3,0.15833333333333333,2.058333333333333,3.42,9.58,2.801169590643275
12,4,109,LVR,John Simpson\SimpJo00,G,23.0,2021.0,0,0,1,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Clemson,College Stats,4,76.0,Seattle Seahawks,2022.0,0.025333333333333333,0.20266666666666666,0.5472,7.4528,13.619883040935672,"Sep 25, 2020",PMVP,"PMV Pharmaceuticals, Inc.",18.0,16.0,-0.111,Health Care,Biotechnology,United States,4,0.15,1.2,3.24,4.76,1.4691358024691357
13,6,182,NWE,Michael Onwenu\OnweMi00,G,22.0,2021.0,0,0,1,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,6,19.0,New York Giants,2022.0,0.006333333333333333,0.076,0.1368,11.8632,86.71929824561404,"Feb 7, 2020",ONEW,OneWater Marine Inc.,12.0,31.12,1.5930000000000002,Consumer Discretionary,Specialty Retail,United States,6,0.1,1.2000000000000002,2.16,9.84,4.555555555555555
14,6,192,GNB,Jon Runyan\RunyJo00,T,23.0,2021.0,0,0,1,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,6,15.0,Minnesota Vikings,2022.0,0.005,0.045,0.10800000000000001,8.892,82.33333333333331,"Feb 12, 2020",HUIZ,Huize Holding Limited,10.5,1.12,-0.893,Financial Services,Insurance Brokers,United States,6,0.0875,0.7875,1.89,7.11,3.7619047619047623
