,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
0,"Jun 5, 2020",FOUR,"Shift4 Payments, Inc.",23.0,51.34,1.232,Information Technology,IT Services,United States,1,30
1,"Feb 6, 2020",PPD,"PPD, Inc.",27.0,47.28,0.7509999999999999,Health Care,Life Sciences Tools & Services,United States,1,15
2,"Jun 16, 2020",RPRX,Royalty Pharma PLC,28.0,42.82,0.529,Health Care,Pharmaceuticals,United States,1,14
3,"Sep 18, 2020",U,"Unity Software, Inc.",52.0,75.85,0.45899999999999996,Information Technology,Software,United States,1,6
4,"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,31.39,0.256,Communication Services,Entertainment,United States,1,24
5,"Dec 16, 2020",WISH,"ContextLogic, Inc.",24.0,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,28
6,"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,5.92,-0.753,Health Care,Pharmaceuticals,United States,1,27
7,"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20.0,76.24,2.812,Financials,Consumer Finance,United States,2,61
8,"Jun 4, 2020",ZI,"ZoomInfo Technologies, Inc.",21.0,49.47,1.3559999999999999,Communication Services,Interactive Media & Services,United States,2,47
9,"Jun 9, 2020",VRM,"Vroom, Inc.",22.0,1.64,-0.925,Consumer Discretionary,Specialty Retail,United States,2,44
10,"Mar 3, 2020",GFL,"GFL Environmental, Inc.",19.0,31.27,0.6459999999999999,Industrials,Waste Management,Canada,3,75
11,"Oct 1, 2020",LUNG,Pulmonx Corporation,19.0,26.0,0.368,Health Care,Health Care Equipment & Supplies,United States,3,80
12,"Jul 17, 2020",PAND,"Pandion Therapeutics, Inc.",18.0,60.05,0.6,,,,4,108
13,"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13.0,39.11,2.008,Consumer Discretionary,Specialty Retail,United States,6,180
14,"Jul 30, 2020",LI,"Li Auto, Inc.",11.5,22.4,0.948,Consumer Discretionary,Automobiles,United States,6,188
15,"Jan 17, 2020",LIZI,Lizhi Inc.,11.0,1.11,-0.899,Communication Services,Internet Content & Information,United States,6,190
