,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
202,"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",17.0,182.98,9.764,Health Care,Health Care Equipment & Supplies,United States,2,52
118,"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",16.0,123.75,6.734,Health Care,Biotechnology,United States,2,64
4,"Dec 13, 2019",SPT,"Sprout Social, Inc.",17.0,62.97,2.7039999999999997,Information Technology,Software,United States,2,53
70,"Sep 13, 2019",SWTX,"Springworks Therapeutics, Inc.",18.0,47.97,1.665,Health Care,Biotechnology,United States,2,41
137,"Jun 7, 2019",RVLV,"Revolve Group, Inc.",18.0,45.92,1.551,Consumer Discretionary,Internet & Direct Marketing Retail,United States,2,42
178,"Apr 17, 2019",TPTX,"Turning Point Therapeutics, Inc.",18.0,31.345,0.741,Health Care,Biotechnology,United States,2,44
55,"Oct 3, 2019",VIE,Viela Bio,19.0,53.01,0.53,,,,2,34
105,"Jul 18, 2019",PHR,"Phreesia, Inc.",17.0,25.48,0.499,Health Care,Health Care Technology,United States,2,50
156,"May 9, 2019",SPFI,"South Plains Financial, Inc.",17.5,25.69,0.46799999999999997,Financials,Banks,United States,2,46
172,"Apr 18, 2019",MNRL,"Brigham Minerals, Inc.",18.0,26.315,0.462,Energy,"Oil, Gas & Consumable Fuels",United States,2,45
126,"Jun 20, 2019",PRVL,Prevail Therapeutics Inc.,17.0,23.0,0.23,,,,2,62
196,"Mar 21, 2019",LEVI,Levi Strauss & Co.,17.0,19.265,0.133,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States,2,54
175,"Apr 18, 2019",PINS,"Pinterest, Inc.",19.0,19.775,0.040999999999999995,Communication Services,Interactive Media & Services,United States,2,38
148,"May 15, 2019",PSTL,"Postal Realty Trust, Inc.",17.0,17.53,0.031,Real Estate,Equity Real Estate Investment Trusts (REITs),United States,2,59
111,"Jul 18, 2019",IHRT,"iHeartMedia, Inc.",17.0,17.53,0.031,Communication Services,Media,United States,2,48
14,"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",19.0,19.35,0.018000000000000002,Real Estate,Equity Real Estate Investment Trusts (REITs),United States,2,40
132,"Jun 19, 2019",STOK,"Stoke Therapeutics, Inc.",18.0,17.65,-0.019,Health Care,Biotechnology,United States,2,43
100,"Jul 24, 2019",EIC,"Eagle Point Income Company, Inc.",19.0,16.535,-0.13,Finance and Insurance,Securities and Commodity Exchanges,United States,2,35
141,"May 23, 2019",RTLR,Rattler Midstream LP,17.5,14.04,-0.198,Energy,"Oil, Gas & Consumable Fuels",United States,2,47
46,"Oct 25, 2019",PHAT,"Phathom Pharmaceuticals, Inc.",19.0,13.6,-0.284,Health Care,Pharmaceuticals,United States,2,36
101,"Jul 19, 2019",AFYA,Afya Limited,19.0,13.45,-0.292,Consumer Discretionary,Diversified Consumer Services,Brazil,2,37
121,"Jun 27, 2019",BBIO,"BridgeBio Pharma, Inc.",17.0,10.13,-0.40399999999999997,Health Care,Biotechnology,United States,2,56
221,"Feb 7, 2019",ALEC,"Alector, Inc.",19.0,10.6,-0.442,Health Care,Biotechnology,United States,2,39
155,"May 9, 2019",MEC,"Mayville Engineering Company, Inc.",17.0,8.67,-0.49,Materials,Metals & Mining,United States,2,61
147,"May 17, 2019",LKNCY,"Luckin Coffee, Inc.",17.0,8.036,-0.527,Consumer Cyclical,Restaurants,China,2,58
43,"Oct 25, 2019",DAO,"Youdao, Inc.",17.0,6.23,-0.634,Consumer Discretionary,Diversified Consumer Services,United States,2,60
131,"Jun 20, 2019",PSNL,"Personalis, Inc.",17.0,5.98,-0.648,Health Care,Life Sciences Tools & Services,United States,2,51
159,"May 9, 2019",CRTX,"Cortexyme, Inc.",17.0,3.78,-0.778,Health Care,Biotechnology,United States,2,49
130,"Jun 20, 2019",BCEL,"Atreca, Inc.",17.0,2.43,-0.857,Health Care,Biotechnology,United States,2,55
158,"May 9, 2019",AXLA,"Axcella Health, Inc.",20.0,1.79,-0.91,Health Care,Biotechnology,United States,2,33
33,"Nov 5, 2019",QK,Q&K International Group Ltd.,17.0,1.0490000000000002,-0.938,Real Estate,Real Estate Management & Development,United States,2,63
174,"Apr 18, 2019",GNLN,"Greenlane Holdings, Inc.",17.0,0.379,-0.978,Consumer Discretionary,Distributors,United States,2,57
