,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
54,"Oct 10, 2019",BNTX,BioNTech SE,15.0,146.61,8.774,Health Care,Biotechnology,Germany,3,87
68,"Sep 13, 2019",NET,"Cloudflare, Inc.",15.0,96.54,5.436,Information Technology,Software,United States,3,84
179,"Apr 17, 2019",PLMR,"Palomar Holdings, Inc.",15.0,57.285,2.819,Financials,Insurance,United States,3,83
84,"Aug 1, 2019",DT,"Dynatrace, Inc.",16.0,40.51,1.5319999999999998,Information Technology,Software,United States,3,65
119,"Jun 27, 2019",MORF,"Morphic Holding, Inc.",15.0,29.0,0.9329999999999999,Health Care,Biotechnology,United States,3,80
62,"Sep 19, 2019",PING,Ping Identity Holding Corp.,15.0,27.65,0.843,Information Technology,Software,United States,3,90
107,"Jul 18, 2019",MIRM,"Mirum Pharmaceuticals, Inc.",15.0,25.81,0.721,Health Care,Biotechnology,United States,3,81
94,"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",16.0,22.87,0.429,Health Care,Biotechnology,United States,3,67
169,"May 2, 2019",TMDX,"TransMedics Group, Inc.",16.0,21.46,0.341,Health Care,Health Care Equipment & Supplies,United States,3,78
52,"Oct 11, 2019",HBT,"HBT Financial, Inc.",16.0,18.195,0.13699999999999998,Financials,Banks,United States,3,73
65,"Sep 18, 2019",IGMS,"IGM Biosciences, Inc.",16.0,18.18,0.136,Health Care,Biotechnology,United States,3,70
146,"May 17, 2019",FSLY,"Fastly, Inc.",16.0,17.08,0.068,Information Technology,IT Services,United States,3,75
104,"Jul 18, 2019",ORCC,Owl Rock Capital Corporation,15.3,14.725,-0.038,Financials,Capital Markets,United States,3,79
76,"Aug 15, 2019",CFB,"CrossFirst Bankshares, Inc.",14.5,13.67,-0.057,Financials,Banks,United States,3,94
184,"Apr 4, 2019",NGM,"NGM Biopharmaceuticals, Inc.",16.0,14.88,-0.07,Health Care,Pharmaceuticals,United States,3,69
182,"Apr 11, 2019",TUFN,Tufin Software Technologies Ltd.,14.0,12.91,-0.078,Information Technology,Software,Israel,3,95
164,"May 3, 2019",SCPL,SciPlay Corporation,16.0,13.35,-0.166,Communication Services,Entertainment,United States,3,77
59,"Sep 26, 2019",OPRT,Oportun Financial Corporation,15.0,12.18,-0.188,Financials,Consumer Finance,United States,3,89
108,"Jul 18, 2019",FULC,"Fulcrum Therapeutics, Inc.",16.0,11.02,-0.311,Health Care,Pharmaceuticals,United States,3,68
128,"Jun 20, 2019",AKRO,"Akero Therapeutics, Inc.",16.0,10.38,-0.35100000000000003,Health Care,Biotechnology,United States,3,66
219,"Feb 8, 2019",GOSS,"Gossamer Bio, Inc.",16.0,8.89,-0.444,Health Care,Biotechnology,United States,3,72
180,"Apr 12, 2019",JMIA,Jumia Technologies AG,14.5,7.59,-0.47700000000000004,Consumer Discretionary,Internet & Direct Marketing Retail,Germany,3,93
39,"Oct 31, 2019",OYST,"Oyster Point Pharma, Inc.",16.0,7.06,-0.5589999999999999,Health Care,Biotechnology,United States,3,76
154,"May 9, 2019",NXTC,"NextCure, Inc.",15.0,4.71,-0.6859999999999999,Health Care,Biotechnology,United States,3,91
67,"Sep 13, 2019",STSA,"Satsuma Pharmaceuticals, Inc.",15.0,3.95,-0.737,Health Care,Pharmaceuticals,United States,3,85
22,"Nov 11, 2019",ETNB,"89bio, Inc.",16.0,2.67,-0.833,Health Care,Biotechnology,United States,3,71
215,"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,15.0,2.4,-0.84,Health Care,Biotechnology,United States,3,82
194,"Mar 28, 2019",DTIL,"Precision BioSciences, Inc.",16.0,2.3,-0.856,Health Care,Biotechnology,United States,3,74
176,"Apr 18, 2019",HOOK,HOOKIPA Pharma Inc.,14.0,1.535,-0.89,Health Care,Biotechnology,United States,3,96
58,"Oct 3, 2019",APRE,"Aprea Therapeutics, Inc.",15.0,1.52,-0.899,Health Care,Biotechnology,United States,3,88
27,"Nov 8, 2019",KRKR,36Kr Holdings Inc.,14.5,0.82,-0.943,Communication Services,Interactive Media & Services,United States,3,92
206,"Feb 28, 2019",KLDO,"Kaleido Biosciences, Inc.",15.0,0.29,-0.981,Health Care,Pharmaceuticals,United States,3,86
