,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
199,"Mar 15, 2019",TRNE,Trine Acquisition,10.0,24.77,0.248,Blank Check / SPAC,Blank Check / SPAC,,6,164
135,"Jun 12, 2019",MWK,"Mohawk Group Holdings, Inc.",10.0,23.7,0.237,,,,6,182
6,"Dec 13, 2019",CIIC,CIIG Merger,10.0,21.6,0.21600000000000003,Blank Check / SPAC,Blank Check / SPAC,,6,166
113,"Jul 12, 2019",PIC,Pivotal Investment Corporation II,10.0,19.54,0.195,,,,6,175
225,"Feb 1, 2019",GMHI,Gores Metropoulos,10.0,18.0,0.18,Blank Check / SPAC,Blank Check / SPAC,,6,174
125,"Jun 20, 2019",SMMC,South Mountain Merger Corp.,10.0,16.8,0.168,,,,6,183
37,"Nov 1, 2019",FSRV,Finserv Acquisition Corp,10.0,14.52,0.145,Blank Check / SPAC,Blank Check / SPAC,,6,191
32,"Nov 7, 2019",DFNS,LGL Systems Acquisition,10.0,13.84,0.138,Blank Check / SPAC,Blank Check / SPAC,,6,172
224,"Feb 4, 2019",IPV,InterPrivate Acquisition,10.0,13.04,0.13,Blank Check / SPAC,Blank Check / SPAC,,6,187
150,"May 14, 2019",AGBA,AGBA Acquisition Limited,10.0,11.26,0.126,Blank Check / SPAC,Blank Check / SPAC,Hong Kong,6,181
222,"Feb 7, 2019",MNCL,Monocle Acquisition Corporation,10.0,12.2,0.122,Blank Check / SPAC,Blank Check / SPAC,,6,192
66,"Sep 17, 2019",APXT,Apex Technology Acquisition Corp.,10.0,12.11,0.121,Blank Check / SPAC,Blank Check / SPAC,,6,184
198,"Mar 20, 2019",INSU,Insurance Acquisition,10.0,11.66,0.11699999999999999,Blank Check / SPAC,Blank Check / SPAC,,6,165
75,"Sep 9, 2019",NPA,New Providence Acquisition Corp.,10.0,11.6,0.11599999999999999,Blank Check / SPAC,Blank Check / SPAC,,6,186
88,"Jul 31, 2019",NFIN,Netfin Acquisition,10.0,11.4,0.114,Blank Check / SPAC,Blank Check / SPAC,,6,171
36,"Nov 1, 2019",SFTW,Osprey Technology Acquisition Corp.,10.0,11.41,0.114,Blank Check / SPAC,Blank Check / SPAC,,6,190
93,"Jul 26, 2019",CCX,Churchill Capital Corp II,10.0,10.75,0.107,,,,6,162
140,"Jun 6, 2019",GIX,"GigCapital2, Inc.",10.0,10.47,0.105,,,,6,173
10,"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,10.0,10.3,0.10300000000000001,Blank Check / SPAC,Blank Check / SPAC,,6,167
144,"May 21, 2019",GXGX,GX Acquisition Corp.,10.0,10.2,0.102,Blank Check / SPAC,Blank Check / SPAC,,6,178
48,"Oct 18, 2019",LATN,Union Acquisition Corp. II,10.0,9.86,0.099,Blank Check / SPAC,Blank Check / SPAC,,6,176
138,"Jun 7, 2019",HYAC.D,Haymaker Acquisition Corp. II,10.0,9.52,0.095,Blank Check / SPAC,Blank Check / SPAC,,6,180
12,"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,10.0,9.5,0.095,Blank Check / SPAC,Blank Check / SPAC,,6,170
193,"Mar 28, 2019",JFK,8i Enterprises Acquisition,10.0,9.0,0.09,Blank Check / SPAC,Blank Check / SPAC,,6,168
200,"Mar 8, 2019",CRSA,Crescent Acquisition Corp.,10.0,8.81,0.08800000000000001,Blank Check / SPAC,Blank Check / SPAC,,6,163
228,"Jan 9, 2019",BCOW,"1895 Bancorp of Wisconsin, Inc.",10.0,10.878,0.08800000000000001,Financials,Thrifts & Mortgage Finance,United States,6,169
69,"Sep 13, 2019",EXPC,Experience Investment Corp.,10.0,8.7,0.087,,,,6,185
49,"Oct 18, 2019",GLEO,Galileo Acquisition Corp.,10.0,8.54,0.085,Blank Check / SPAC,Blank Check / SPAC,,6,177
83,"Aug 2, 2019",ORSN,Orisun Acquisition,10.0,8.17,0.08199999999999999,Blank Check / SPAC,Blank Check / SPAC,,6,189
142,"May 23, 2019",IDYA,"IDEAYA Biosciences, Inc.",10.0,10.72,0.07200000000000001,Health Care,Biotechnology,United States,6,179
149,"May 14, 2019",APLT,"Applied Therapeutics, Inc.",10.0,2.06,-0.794,Health Care,Biotechnology,United States,6,188
5,"Dec 13, 2019",OCFT,OneConnect Financial Technology Co. Ltd.,10.0,1.355,-0.865,Information Technology,Software,United States,6,161
