,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
21,1,22,MIN,Justin Jefferson\JeffJu00,WR,21.0,2021.0,0,2,2,25.0,25.0,33.0,2.0,4.0,35.0,0.0,0.0,7.0,16.0,0.0,196.0,3016.0,17.0,,,,LSU,College Stats,1,780.0,Las Vegas Raiders,2022.0,0.26,6.5,5.6160000000000005,19.384,3.451566951566951,"Jan 31, 2020",REYN,Reynolds Consumer Products Inc.,26.0,30.395,0.16899999999999998,Consumer Cyclical,Packaging & Containers,United States,1,0.21666666666666667,5.416666666666667,4.680000000000001,20.32,4.3418803418803416
12,1,13,TAM,Tristan Wirfs\WirfTr00,T,21.0,2021.0,1,1,2,27.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Iowa,College Stats,1,1150.0,Cleveland Browns,2022.0,0.38333333333333336,10.350000000000001,8.280000000000001,18.72,2.2608695652173907,"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,20.11,-0.307,Financials,Insurance,United States,1,0.24166666666666667,6.525,5.220000000000001,21.78,4.172413793103448
27,1,28,BAL,Patrick Queen\QueePa00,LB,21.0,2021.0,0,0,2,18.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,5.0,LSU,College Stats,1,660.0,Green Bay Packers,2022.0,0.22,3.96,4.752000000000001,13.248,2.787878787878787,"Dec 16, 2020",WISH,"ContextLogic, Inc.",24.0,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.2,3.6,4.32,13.68,3.1666666666666665
16,1,17,DAL,CeeDee Lamb\LambCe00,WR,21.0,2021.0,0,1,2,19.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,158.0,1.0,153.0,2037.0,11.0,2.0,,,Oklahoma,College Stats,1,950.0,Los Angeles Chargers,2022.0,0.31666666666666665,6.016666666666667,6.84,12.16,1.777777777777778,"Aug 14, 2020",DCT,"Duck Creek Technologies, Inc.",27.0,15.91,-0.41100000000000003,Information Technology,Software,United States,1,0.225,4.275,4.86,14.14,2.9094650205761314
5,1,6,LAC,Justin Herbert\HerbJu00,QB,22.0,2021.0,0,1,2,30.0,30.0,32.0,839.0,1267.0,9350.0,69.0,25.0,118.0,536.0,8.0,0.0,0.0,0.0,1.0,,,Oregon,College Stats,1,1600.0,Carolina Panthers,2022.0,0.5333333333333333,16.0,11.520000000000001,18.479999999999997,1.6041666666666663,"Sep 18, 2020",U,"Unity Software, Inc.",52.0,75.85,0.45899999999999996,Information Technology,Software,United States,1,0.43333333333333335,13.0,9.360000000000001,20.64,2.205128205128205
31,1,32,KAN,Clyde Edwards-Helaire\EdwaCl00,RB,21.0,2021.0,0,0,1,13.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,300.0,1320.0,8.0,55.0,426.0,3.0,,,,LSU,College Stats,1,590.0,Detroit Lions,2022.0,0.19666666666666666,2.5566666666666666,4.248,8.751999999999999,2.060263653483992,"Jun 5, 2020",LEGN,Legend Biotech Corporation,23.0,38.65,0.68,Health Care,Biotechnology,United States,1,0.19166666666666668,2.4916666666666667,4.140000000000001,8.86,2.1400966183574877
15,1,16,ATL,AJ Terrell\TerrAJ00,CB,21.0,2021.0,0,0,2,15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,4.0,1.0,Clemson,College Stats,1,1000.0,Philadelphia Eagles,2022.0,0.3333333333333333,5.0,7.2,7.8,1.0833333333333333,"Sep 15, 2020",OM,"Outset Medical, Inc.",27.0,37.8,0.4,Health Care,Medical Devices,United States,1,0.225,3.375,4.86,10.14,2.0864197530864197
24,1,25,SFO,Brandon Aiyuk\AiyuBr00,WR,22.0,2021.0,0,0,2,13.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,2.0,116.0,1574.0,10.0,,,,Arizona St.,College Stats,1,720.0,Buffalo Bills,2022.0,0.24,3.12,5.184,7.816,1.507716049382716,"Sep 16, 2020",ENPC,Executive Network Partnering Corporation,25.0,9.89,-0.604,Financial Services,Shell Companies,United States,1,0.20833333333333334,2.7083333333333335,4.500000000000001,8.5,1.8888888888888886
17,1,18,MIA,Austin Jackson\JackAu00,T,21.0,2021.0,0,0,2,13.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,USC,College Stats,1,900.0,New Orleans Saints,2022.0,0.3,3.9,6.48,6.52,1.0061728395061726,"Oct 21, 2020",MSP,Datto Holding Corp.,27.0,34.685,0.285,Information Technology,Software,United States,1,0.225,2.9250000000000003,4.86,8.14,1.6748971193415638
26,1,27,SEA,Jordyn Brooks\BrooJo01,LB,22.0,2021.0,0,0,1,11.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,,1.0,Texas Tech,College Stats,1,680.0,Tampa Bay Buccaneers,2022.0,0.22666666666666666,2.493333333333333,4.896,6.104,1.2467320261437909,"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,5.92,-0.753,Health Care,Pharmaceuticals,United States,1,0.2,2.2,4.32,6.68,1.546296296296296
