,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
63,2,64,CAR,Jeremy Chinn\ChinJe00,S,22.0,2021.0,0,0,2,26.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,143.0,2.0,2.0,Southern Illinois,,2,270.0,Denver Broncos,2022.0,0.09,2.34,1.944,24.056,12.37448559670782,"Jun 19, 2020",FMTX,"Forma Therapeutics Holdings, Inc.",20.0,8.1,-0.595,Health Care,Biotechnology,United States,2,0.16666666666666666,4.333333333333333,3.6,22.4,6.222222222222221
40,2,41,IND,Jonathan Taylor\TaylJo02,RB,21.0,2021.0,1,1,2,27.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,564.0,2980.0,29.0,76.0,659.0,3.0,,,,Wisconsin,College Stats,2,490.0,Seattle Seahawks,2022.0,0.16333333333333333,4.41,3.528,23.472,6.653061224489797,"Jul 31, 2020",VITL,"Vital Farms, Inc.",22.0,12.895,-0.414,Consumer Defensive,Farm Products,United States,2,0.18333333333333332,4.949999999999999,3.96,23.04,5.818181818181818
52,2,53,PHI,Jalen Hurts\HurtJa00,QB,22.0,2021.0,0,0,1,21.0,21.0,30.0,342.0,580.0,4205.0,22.0,13.0,202.0,1138.0,13.0,1.0,3.0,0.0,,,,Oklahoma,College Stats,2,370.0,Las Vegas Raiders,2022.0,0.12333333333333334,2.59,2.664,18.336,6.882882882882882,"May 21, 2020",SLQT,"SelectQuote, Inc.",20.0,1.965,-0.902,Financial Services,Insurance Brokers,United States,2,0.16666666666666666,3.5,3.6,17.4,4.833333333333333
50,2,51,DAL,Trevon Diggs\DiggTr00,CB,21.0,2021.0,1,1,2,19.0,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,14.0,1.0,Alabama,College Stats,2,390.0,Philadelphia Eagles,2022.0,0.13,2.47,2.8080000000000003,16.192,5.766381766381766,"Oct 22, 2020",MCFE,McAfee Corp.,20.0,25.99,0.299,Information Technology,Software,United States,2,0.16666666666666666,3.1666666666666665,3.6,15.4,4.277777777777778
33,2,34,IND,Michael Pittman Jr.\PittMi01,WR,22.0,2021.0,0,0,2,17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,70.0,0.0,128.0,1585.0,7.0,1.0,,,USC,College Stats,2,560.0,Detroit Lions,2022.0,0.18666666666666668,3.1733333333333333,4.032,12.968,3.2162698412698414,"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23.0,12.19,-0.47,Health Care,Biotechnology,United States,2,0.19166666666666668,3.2583333333333337,4.140000000000001,12.86,3.1062801932367146
32,2,33,CIN,Tee Higgins\HiggTe00,WR,21.0,2021.0,0,0,2,17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,141.0,1999.0,12.0,1.0,,,Clemson,College Stats,2,580.0,Jacksonville Jaguars,2022.0,0.19333333333333333,3.2866666666666666,4.176,12.824,3.07088122605364,"Nov 20, 2020",SHC,Sotera Health Company,23.0,21.28,-0.075,Health Care,Diagnostics & Research,United States,2,0.19166666666666668,3.2583333333333337,4.140000000000001,12.86,3.1062801932367146
48,2,49,PIT,Chase Claypool\ClayCh01,WR,22.0,2021.0,0,0,1,15.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,24.0,112.0,2.0,121.0,1733.0,11.0,2.0,,,Notre Dame,College Stats,2,410.0,New Orleans Saints,2022.0,0.13666666666666666,2.05,2.952,12.048,4.08130081300813,"Aug 5, 2020",RXT,"Rackspace Technology, Inc.",21.0,10.06,-0.521,Technology,Software-Infrastructure,United States,2,0.175,2.625,3.78,11.22,2.9682539682539684
55,2,56,MIA,Raekwon Davis\DaviRa03,DT,23.0,2021.0,0,0,2,14.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,0.5,Alabama,College Stats,2,340.0,Dallas Cowboys,2022.0,0.11333333333333333,1.5866666666666667,2.448,11.552,4.718954248366013,"Jul 16, 2020",RLAY,"Relay Therapeutics, Inc.",20.0,28.1,0.405,Health Care,Biotechnology,United States,2,0.16666666666666666,2.333333333333333,3.6,10.4,2.888888888888889
44,2,45,TAM,Antoine Winfield Jr.\WinfAn00,S,22.0,2021.0,0,1,2,14.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,3.0,5.0,Minnesota,College Stats,2,450.0,Baltimore Ravens,2022.0,0.15,2.1,3.24,10.76,3.3209876543209873,"Aug 6, 2020",OSH,"Oak Street Health, Inc.",21.0,20.57,-0.02,Health Care,Health Care Providers & Services,United States,2,0.175,2.4499999999999997,3.78,10.22,2.703703703703704
34,2,35,DET,D'Andre Swift\SwifDA00,RB,21.0,2021.0,0,0,0,13.0,13.0,26.0,0.0,1.0,0.0,0.0,0.0,265.0,1138.0,13.0,108.0,809.0,4.0,,,,Georgia,College Stats,2,550.0,New York Jets,2022.0,0.18333333333333332,2.3833333333333333,3.96,9.04,2.2828282828282824,"Dec 11, 2020",CERT,"Certara, Inc.",23.0,20.19,-0.122,Health Care,Health Information Services,United States,2,0.19166666666666668,2.4916666666666667,4.140000000000001,8.86,2.1400966183574877
61,2,62,GNB,AJ Dillon\DillAJ00,RB,22.0,2021.0,0,0,0,11.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,233.0,1045.0,7.0,36.0,334.0,2.0,1.0,,,Boston Col.,College Stats,2,284.0,Kansas City Chiefs,2022.0,0.09466666666666666,1.0413333333333332,2.0448,8.9552,4.379499217527386,"Jun 19, 2020",RPTX,"Repare Therapeutics, Inc.",20.0,11.96,-0.402,Health Care,Biotechnology,United States,2,0.16666666666666666,1.8333333333333333,3.6,7.4,2.055555555555556
57,2,58,MIN,Ezra Cleveland\ClevEz00,T,22.0,2021.0,0,0,2,11.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Boise St.,College Stats,2,320.0,Atlanta Falcons,2022.0,0.10666666666666667,1.1733333333333333,2.3040000000000003,8.696,3.774305555555555,"Jun 26, 2020",API,"Agora, Inc.",20.0,6.86,-0.657,Information Technology,"Electronic Equipment, Instruments & Components",United States,2,0.16666666666666666,1.8333333333333333,3.6,7.4,2.055555555555556
56,2,57,LAR,Van Jefferson\JeffVa00,WR,24.0,2021.0,0,0,1,10.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,69.0,1022.0,7.0,1.0,,,Florida,College Stats,2,330.0,Buffalo Bills,2022.0,0.11,1.1,2.3760000000000003,7.624,3.208754208754208,"Dec 18, 2020",MASS,"908 Devices, Inc.",20.0,18.25,-0.087,Health Care,Medical Devices,United States,2,0.16666666666666666,1.6666666666666665,3.6,6.4,1.777777777777778
