,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
44,"Dec 10, 2020",ABNB,"Airbnb, Inc.",68.0,156.7,1.304,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,1,4
410,"Jun 5, 2020",FOUR,"Shift4 Payments, Inc.",23.0,51.34,1.232,Information Technology,IT Services,United States,1,30
295,"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24.0,50.91,1.121,Health Care,Biotechnology,United States,1,29
467,"Feb 6, 2020",PPD,"PPD, Inc.",27.0,47.28,0.7509999999999999,Health Care,Life Sciences Tools & Services,United States,1,15
408,"Jun 5, 2020",LEGN,Legend Biotech Corporation,23.0,38.65,0.68,Health Care,Biotechnology,United States,1,32
397,"Jun 16, 2020",RPRX,Royalty Pharma PLC,28.0,42.82,0.529,Health Care,Pharmaceuticals,United States,1,14
245,"Sep 18, 2020",U,"Unity Software, Inc.",52.0,75.85,0.45899999999999996,Information Technology,Software,United States,1,6
261,"Sep 16, 2020",SNOW,Snowflake Inc.,120.0,173.46,0.445,Information Technology,IT Services,United States,1,1
263,"Sep 15, 2020",OM,"Outset Medical, Inc.",27.0,37.8,0.4,Health Care,Medical Devices,United States,1,16
149,"Oct 21, 2020",MSP,Datto Holding Corp.,27.0,34.685,0.285,Information Technology,Software,United States,1,18
414,"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,31.39,0.256,Communication Services,Entertainment,United States,1,24
90,"Nov 20, 2020",MRVI,"Maravai LifeSciences Holdings, Inc.",27.0,32.805,0.215,Health Care,Biotechnology,United States,1,20
365,"Jul 14, 2020",NCNO,"nCino, Inc.",31.0,37.11,0.19699999999999998,Information Technology,Software,United States,1,10
470,"Jan 31, 2020",REYN,Reynolds Consumer Products Inc.,26.0,30.395,0.16899999999999998,Consumer Cyclical,Packaging & Containers,United States,1,22
352,"Jul 22, 2020",JAMF,Jamf Holding Corporation,26.0,30.16,0.16,Information Technology,Software,United States,1,21
45,"Dec 10, 2020",PCPC,Periphas Capital Partnering Corporation,25.0,24.59,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States,1,23
398,"Jun 12, 2020",AZEK,"The AZEK Company, Inc.",23.0,22.5,-0.022000000000000002,Industrials,Building Products,United States,1,31
54,"Dec 9, 2020",DASH,"DoorDash, Inc.",102.0,89.42,-0.12300000000000001,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,2
71,"Dec 3, 2020",DCBO,"Docebo, Inc.",52.21,45.46,-0.129,Technology,Software-Application,United States,1,5
327,"Aug 5, 2020",BIGC,"BigCommerce Holdings, Inc.",24.0,17.29,-0.28,Information Technology,IT Services,United States,1,26
269,"Sep 11, 2020",LSPD,"Lightspeed Commerce, Inc.",30.5,21.91,-0.282,Information Technology,Software,Canada,1,11
376,"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,20.11,-0.307,Financials,Insurance,United States,1,13
303,"Aug 14, 2020",DCT,"Duck Creek Technologies, Inc.",27.0,15.91,-0.41100000000000003,Information Technology,Software,United States,1,17
262,"Sep 16, 2020",FROG,JFrog Ltd.,44.0,22.61,-0.486,Information Technology,Software,United States,1,7
236,"Sep 23, 2020",GDRX,"GoodRx Holdings, Inc.",33.0,15.88,-0.519,Health Care,Health Care Technology,United States,1,9
55,"Dec 9, 2020",AI,"C3.ai, Inc.",42.0,17.67,-0.579,Information Technology,Software,United States,1,8
257,"Sep 16, 2020",ENPC,Executive Network Partnering Corporation,25.0,9.89,-0.604,Financial Services,Shell Companies,United States,1,25
81,"Nov 24, 2020",OZON,Ozon Holdings PLC,30.0,11.6,-0.613,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,12
116,"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,5.92,-0.753,Health Care,Pharmaceuticals,United States,1,27
17,"Dec 17, 2020",MDWT,"Midwest Holding, Inc.",70.0,12.37,-0.823,Financial Services,Insurance-Life,United States,1,3
20,"Dec 16, 2020",WISH,"ContextLogic, Inc.",24.0,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,28
130,"Oct 28, 2020",ROOT,"Root, Inc.",27.0,1.535,-0.943,Financial Services,Insurance-Property & Casualty,United States,1,19
