,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Industry,Sector,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO
2,1,3,SFO,Trey Lance\LancTr00,QB,21.0,2021.0,0,0,0,3.0,3.0,6.0,41.0,71.0,603.0,5.0,2.0,38.0,168.0,1.0,0.0,0.0,0.0,,,,North Dakota St.,College Stats,1,2200.0,Houston Texans,2022.0,0.7333333333333333,2.1999999999999997,4.6419999999999995,-1.6419999999999995,-0.35372684187850056,"Oct 6, 2021",NVEI,Nuvei Corporation,123.14,58.72,-0.523,Software-Infrastructure,Technology,United States,1,0.49256,1.4776799999999999,3.1179048,-0.11790479999999981
7,1,8,CAR,Jaycee Horn\HornJa00,DB,21.0,2021.0,0,0,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,South Carolina,College Stats,1,1400.0,Atlanta Falcons,2022.0,0.4666666666666667,0.4666666666666667,2.954,-1.9540000000000002,-0.6614759647935003,"Oct 14, 2021",GTLB,GitLab Inc.,77.0,46.55,-0.395,Software-Application,Technology,United States,1,0.308,0.308,1.94964,-0.94964
21,1,22,TEN,Caleb Farley\FarlCa00,DB,22.0,2021.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,Virginia Tech,College Stats,1,780.0,Las Vegas Raiders,2022.0,0.26,0.0,1.6458000000000002,-1.6458000000000002,-1.0,"Jan 14, 2021",POSH,"Poshmark, Inc.",42.0,11.85,-0.718,Internet & Direct Marketing Retail,Consumer Discretionary,United States,1,0.168,0.0,1.0634400000000002,-1.0634400000000002
56,2,57,LAR,Tutu Atwell\AtweTu00,WR,21.0,2021.0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Louisville,College Stats,2,330.0,Buffalo Bills,2022.0,0.11,0.0,0.6963,-0.6963,-1.0,"Jul 28, 2021",MLNK,"MeridianLink, Inc.",26.0,17.42,-0.33,Software-Application,Technology,United States,2,0.104,0.0,0.65832,-0.65832
65,3,66,MIN,Kellen Mond\MondKe00,QB,22.0,2021.0,0,0,0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas A&M,College Stats,3,260.0,Detroit Lions,2022.0,0.08666666666666667,0.0,0.5486,-0.5486,-1.0,"Sep 16, 2021",FORG,"ForgeRock, Inc.",25.0,19.94,-0.20199999999999999,Software-Infrastructure,Technology,United States,3,0.1,0.0,0.633,-0.633
78,3,79,LVR,Malcolm Koonce\KoonMa00,DE,23.0,2021.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,Buffalo,College Stats,3,195.0,Los Angeles Chargers,2022.0,0.065,0.0,0.41145000000000004,-0.41145000000000004,-1.0,"Mar 17, 2021",SNCY,"Sun Country Airlines Holdings, Inc.",24.0,28.49,0.187,Airlines,Industrials,United States,3,0.096,0.0,0.60768,-0.60768
80,3,81,MIA,Hunter Long\LongHu00,TE,23.0,2021.0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,,,,Boston Col.,College Stats,3,185.0,Miami Dolphins,2022.0,0.06166666666666667,0.0,0.39035000000000003,-0.39035000000000003,-1.0,"Nov 11, 2021",WEAV,"Weave Communications, Inc.",24.0,4.91,-0.795,Software-Application,Technology,United States,3,0.096,0.0,0.60768,-0.60768
85,3,86,MIN,Wyatt Davis\DaviWy00,OL,22.0,2021.0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Ohio St.,College Stats,3,160.0,Las Vegas Raiders,2022.0,0.05333333333333334,0.0,0.3376,-0.3376,-1.0,"Sep 23, 2021",STER,Sterling Check Corp.,23.0,25.41,0.105,Software-Infrastructure,Technology,United States,3,0.092,0.0,0.58236,-0.58236
96,3,97,LAC,Tre' McKitty\McKiTr00,TE,22.0,2021.0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,0.0,1.0,,,Georgia,College Stats,4,112.0,Detroit Lions,2022.0,0.037333333333333336,0.0,0.23632000000000003,-0.23632000000000003,-1.0,"Jun 16, 2021",MOLN,Molecular Partners AG,21.25,17.18,-0.191,Biotechnology,Health Care,Switzerland,4,0.085,0.0,0.53805,-0.53805
105,4,106,JAX,Jay Tufele\TufeJa00,DL,22.0,2021.0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,USC,College Stats,4,82.0,Jacksonville Jaguars,2022.0,0.027333333333333334,0.0,0.17302,-0.17302,-1.0,"May 26, 2021",PAY,"Paymentus Holdings, Inc.",21.0,17.51,-0.166,"Electronic Equipment, Instruments & Components",Information Technology,United States,4,0.084,0.0,0.5317200000000001,-0.5317200000000001
